43.232,10.738,0.00011111,0.00033333,0.00022222,0.33333,1.2811,0.052685
26.252,6.064,0.00011111,0.00022222,0.00011111,0.5,2.287,-0.61517
40.027,7.5053,0.00011111,0.00033333,0.00022222,0.33333,1.2425,-0.01443
36.361,9.1938,0.00011111,0.00033333,0.00022222,0.33333,1.2027,0.07061
11.49,2.6345,0.00011111,0.00022222,0.00011111,0.5,1.5315,-0.20348
36.505,7.1054,0.00011111,0.00033333,0.00022222,0.33333,1.2479,-0.22149
22.413,5.3433,0.00011111,0.00033333,0.00022222,0.33333,1.2586,-0.064261
37.547,8.0719,0.00011111,0.00033333,0.00022222,0.33333,1.2666,0.1622
20.905,6.6433,0.00011111,0.00033333,0.00022222,0.33333,1.2869,-0.15603
15.485,3.6772,0.00011111,0.00022222,0.00011111,0.5,1.764,0.46865
35.064,7.7554,0.00011111,0.00022222,0.00011111,0.5,1.3213,-0.32847
44.691,9.7504,0.00011111,0.00022222,0.00011111,0.5,1.275,0.23911
24.732,4.5327,0.00011111,0.00033333,0.00022222,0.33333,1.2266,-0.12249
28.339,3.8108,0.00011111,0.00033333,0.00022222,0.33333,1.2901,-0.026264
6.8982,4.8986,0.00022222,0.00011111,-0.00011111,2,2.1473,-0.28732
29.951,7.9875,0.00011111,0.00022222,0.00011111,0.5,1.3662,0.26394
25.628,4.6468,0.00011111,0.00033333,0.00022222,0.33333,1.1857,-0.081274
41.957,10.805,0.00011111,0.00022222,0.00011111,0.5,1.372,-0.089445
26.046,8.0365,0.00011111,0.00033333,0.00022222,0.33333,1.2719,-0.051447
25.957,2.7135,0.00011111,0.00044444,0.00033333,0.25,1.5064,-0.030975
20.666,3.4768,0.00011111,0.00033333,0.00022222,0.33333,1.444,0.08235
3.1861,1.7864,0.00022222,0.00011111,-0.00011111,2,2.2191,-0.017461
19.274,2.9209,0.00011111,0.00022222,0.00011111,0.5,1.7005,0.24573
17.433,6.5271,0.00011111,0.00033333,0.00022222,0.33333,1.4695,-0.18566
25.503,5.2827,0.00011111,0.00033333,0.00022222,0.33333,1.2768,-0.042691
12.563,2.4477,0.00011111,0.00022222,0.00011111,0.5,1.6966,0.1672
7.4861,4.7968,0.00022222,0.00011111,-0.00011111,2,3.194,0.68021
7.6767,5.749,0.00022222,0.00044444,0.00022222,0.5,3.6093,0.35983
18.161,5.9642,0.00011111,0.00033333,0.00022222,0.33333,1.2692,0.0014584
21.784,3.2863,0.00011111,0.00033333,0.00022222,0.33333,1.8974,0.01096
9.7003,3.2905,0.00011111,0.00022222,0.00011111,0.5,2.4599,0.60853
5.9773,3.7158,0.00011111,0.00022222,0.00011111,0.5,2.4039,-0.9027
19.414,6.4794,0.00011111,0.00033333,0.00022222,0.33333,1.7576,0.57873
