-5.2557e-10,4.2931e-07,-0.00012486,0.015593,7.3722e+05
1.1642e-09,-1.363e-06,0.00058509,-0.10862,7.3722e+05
-1.9143e-09,1.5297e-06,-0.00044966,0.057972,7.3721e+05
-3.0233e-10,2.9465e-07,-9.2088e-05,0.011922,7.3721e+05
1.4838e-07,-8.468e-05,0.017955,-1.675,7.3726e+05
-2.7314e-09,1.7638e-06,-0.0004135,0.04198,7.3719e+05
-9.9978e-09,5.3495e-06,-0.0010493,0.09018,7.3714e+05
-6.9095e-11,1.4252e-07,-5.7807e-05,0.0087721,7.3712e+05
3.2831e-09,-1.4104e-06,0.00019867,-0.0084843,7.3712e+05
-1.6523e-07,0.00010773,-0.02616,2.8036,7.37e+05
-7.1783e-10,4.1427e-07,-8.0769e-05,0.0064083,7.3711e+05
-5.4121e-10,3.8469e-07,-9.8373e-05,0.010986,7.3711e+05
-1.8146e-08,1.1319e-05,-0.0026119,0.26472,7.3709e+05
6.0565e-09,-3.6603e-06,0.00080186,-0.074598,7.371e+05
-1.5587e-07,6.7702e-05,-0.010886,0.76969,7.3704e+05
-1.8651e-09,1.28e-06,-0.00032194,0.035612,7.3706e+05
1.2396e-08,-8.6534e-06,0.0022432,-0.25514,7.3707e+05
2.9225e-10,-1.5244e-07,2.7589e-05,-0.0024941,7.3705e+05
2.9111e-09,-1.4928e-06,0.00028231,-0.02259,7.3705e+05
8.4441e-09,-4.9903e-06,0.0010685,-0.097282,7.3705e+05
4.9157e-09,-2.6435e-06,0.0004907,-0.034712,7.3705e+05
3.9389e-06,-0.001464,0.20308,-12.461,7.3733e+05
1.7549e-08,-1.1855e-05,0.0029634,-0.32384,7.3706e+05
2.1851e-08,-9.8245e-06,0.0016319,-0.11787,7.3704e+05
-1.7125e-09,1.1761e-06,-0.00030343,0.035395,7.3702e+05
1.3784e-07,-5.7841e-05,0.0089476,-0.60333,7.3704e+05
5.3789e-08,-2.4219e-05,0.0039986,-0.2873,7.3703e+05
-3.8172e-09,2.5719e-06,-0.00062331,0.063288,7.3701e+05
-7.6314e-09,4.7841e-06,-0.0011051,0.11239,7.3701e+05
1.707e-09,-1.0609e-06,0.00022549,-0.019645,7.3701e+05
2.9269e-08,-1.3793e-05,0.0024231,-0.1883,7.3701e+05
-7.7931e-07,0.00037377,-0.066992,5.318,7.3685e+05
-1.8375e-09,1.0446e-06,-0.00021662,0.020123,7.37e+05
